TASK,SUBTASK,OPERATION,MOVE,SUBMOVE,REEL,FROM_POSITION,TO_POSITION,START_TIME,FINISH_TIME,CRANE
-1,-1,1,1,1,1,49,17,0,3,2
-1,-1,1,1,2,1,17,16,3,3,2
-1,-1,1,1,3,1,16,50,3,3,2
-1,-1,1,1,4,1,50,7,3,3,2
6,2,2,1,1,6,43,9,3,6,2
6,2,2,1,2,6,9,8,6,6,2
6,2,2,1,3,6,8,49,6,6,2
-1,-1,3,1,1,29,35,36,0,3,1
-1,-1,3,1,2,29,36,37,3,3,1
4,1,4,1,1,20,44,34,3,6,1
4,1,4,1,2,20,34,35,6,6,1
4,1,4,1,3,20,35,36,6,6,1
4,1,4,1,4,20,36,42,6,6,1
-1,-1,5,1,1,28,33,34,6,9,1
6,1,6,1,1,34,31,32,9,12,1
6,1,6,1,2,34,32,33,12,12,1
6,1,6,1,3,34,33,44,12,12,1
-1,-1,7,1,1,22,48,35,12,15,1
7,2,8,1,1,29,37,36,15,18,1
7,2,8,1,2,29,36,48,18,18,1
-1,-1,9,1,1,8,12,11,6,9,2
-1,-1,9,1,2,8,11,10,9,9,2
-1,-1,10,1,1,21,45,32,18,21,1
8,1,11,1,1,28,34,33,21,24,1
8,1,11,1,2,28,33,45,24,24,1
7,1,12,1,1,14,22,17,10,13,2
7,1,12,1,2,14,17,8,13,13,2
7,1,12,1,3,14,8,9,13,13,2
7,1,12,1,4,14,9,43,13,13,2
5,1,13,1,1,8,10,9,13,16,2
5,1,13,1,2,8,9,8,16,16,2
5,1,13,1,3,8,8,17,16,16,2
5,1,13,1,4,8,17,22,16,16,2
-1,-1,14,1,1,15,15,50,16,19,2
-1,-1,14,1,2,15,50,16,19,19,2
-1,-1,14,1,3,15,16,17,19,19,2
-1,-1,14,1,4,15,17,8,19,19,2
-1,-1,15,1,1,19,14,15,19,22,2
-1,-1,15,1,2,19,15,16,22,22,2
8,2,16,1,1,12,21,15,149,152,2
8,2,16,1,2,12,15,50,152,152,2
9,1,17,1,1,18,13,14,152,155,2
9,1,17,1,2,18,14,15,155,155,2
9,1,17,1,3,18,15,21,155,155,2
-1,-1,18,1,1,19,16,15,155,158,2
-1,-1,18,1,2,19,15,14,158,158,2
-1,-1,18,1,3,19,14,13,158,158,2
-1,-1,19,1,1,7,41,9,280,283,2
10,1,20,1,1,1,7,14,283,286,2
10,1,20,1,2,1,14,15,286,286,2
10,1,20,1,3,1,15,16,286,286,2
10,1,20,1,4,1,16,17,286,286,2
10,1,20,1,5,1,17,41,286,286,2
-1,-1,21,1,1,15,8,17,286,289,2
-1,-1,22,1,1,7,9,8,289,292,2
-1,-1,23,1,1,23,46,34,280,283,1
10,2,24,1,1,22,35,46,283,286,1
-1,-1,25,1,1,20,42,37,358,361,1
11,1,26,1,1,23,34,35,361,364,1
11,1,26,1,2,23,35,36,364,364,1
11,1,26,1,3,23,36,42,364,364,1
-1,-1,27,1,1,5,47,10,358,361,2
11,2,28,1,1,38,18,47,361,364,2
-1,-1,29,1,1,14,43,9,370,373,2
12,1,30,1,1,5,10,43,373,376,2
-1,-1,31,1,1,29,48,35,370,373,1
12,2,32,1,1,20,37,36,373,376,1
12,2,32,1,2,20,36,48,376,376,1
-1,-1,33,1,1,12,50,15,526,529,2
13,2,34,1,1,15,17,16,529,532,2
13,2,34,1,2,15,16,50,532,532,2
-1,-1,35,1,1,28,45,33,526,529,1
13,1,36,1,1,21,32,45,529,532,1
-1,-1,37,1,1,34,44,34,850,853,1
15,1,38,1,1,28,33,44,853,856,1
-1,-1,39,1,1,6,49,17,850,853,2
15,2,40,1,1,7,8,49,853,856,2
-1,-1,41,1,1,21,45,33,898,901,1
-1,-1,42,1,1,15,50,14,898,901,2
16,2,43,1,1,6,17,16,901,904,2
16,2,43,1,2,6,16,50,904,904,2
16,1,44,1,1,32,26,30,901,904,1
16,1,44,1,2,32,30,31,904,904,1
16,1,44,1,3,32,31,32,904,904,1
16,1,44,1,4,32,32,45,904,904,1
